Collection ID,Item ID,Data type,Title,URL
14,336,none,Awareness events scheduled: Sexual Assault Awareness Week kicks off with Lawn ceremony,
12,603,text,Interview with UVA Orientation Leader,
12,1068,link,Rolling Stone Wins Lawsuit Dismissal Over Debunked UVA Rape Story,https://www.huffingtonpost.com/entry/rolling-stone-uva-rape-lawsuit_us_5772fd32e4b0eb90355cc4a4
12,1136,text,"President Sullivan's message on 2014/11/22 to UVA community regarding the publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted)",
12,1137,text,"President Sullivan's message on 2014/11/25 to University community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted)",
12,1138,text,"Text of email sent by Pres. Teresa Sullivan to the UVA community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus""",
12,1167,text,"President Sullivan's message on 2015/03/30 to UVA community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted).",
12,1168,none,"President Sullivan's message on 2015/04/28 to University community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted).",
12,1173,text,"President Sullivan's message on 2015/07/01 to University community regarding the November 2014 publication in Rolling Stone magazine of ""A Rape on Campus"" (later retracted).",
11,1673,link,Defense rests its case in Rolling Stone trial,http://www.cavalierdaily.com/article/2016/10/defense-rests-its-case-in-rolling-stone-trial-closing-arguments-to-follow
11,1674,link,U.Va. survivor condemns Rolling Stone,http://www.cavalierdaily.com/article/2016/10/uva-survivor-condemns-rolling-stone-defends-eramo-on-stand
11,1675,link,Jackie comes to Eramoâ€™s defense,http://www.cavalierdaily.com/article/2016/10/jackie-comes-to-eramos-defense
11,1676,link,Erdely finishes testimony Saturday,http://www.cavalierdaily.com/article/2016/10/erdely-finishes-testimony-saturday
11,1677,link,Eramo takes stand in Rolling Stone defamation suit,http://www.cavalierdaily.com/article/2016/10/eramo-takes-stand-in-rolling-stone-defamation-suit
11,1678,link,Eramoâ€™s cross-examination ends,http://www.cavalierdaily.com/article/2016/10/eramos-cross-examination-ends-erdelys-begins
11,1679,link,Rolling Stone editor admits faults with â€œA Rape on Campus,http://www.cavalierdaily.com/article/2016/10/rolling-stone-editor-admits-faults-with-a-rape-on-campus
11,1680,link,Two years later,http://www.cavalierdaily.com/article/2016/11/two-years-later-jackies-friends-rape-on-campus
12,1681,link,Founder Says Rolling Stone Erred in Retracting Rape Article,http://www.nytimes.com/2016/10/29/business/media/founder-says-rolling-stone-erred-in-retracting-rape-article.html
12,1682,link,Why Rolling Stone Deserved to Lose Its â€œRape on Campusâ€ Defamation Case,http://www.slate.com/blogs/the_slatest/2016/11/04/why_rolling_stone_deserved_to_lose_its_rape_on_campus_defamation_case.html
12,1683,link,Rolling Stone Loses Defamation Case Over Rape Story,http://www.nytimes.com/2016/11/05/business/media/rolling-stone-rape-story-case-guilty.html?_r=0
12,1684,link, Publication Held Liable In Rolling Stone Rape Story Lawsuit: The reporter was found liable with malice on six claims.,http://www.huffingtonpost.com/entry/reporter-publication-held-liable-in-rolling-stone-rape-story-lawsuit_us_581ccbc4e4b0e80b02c9b463
12,1685,link,Rolling Stone found liable in $7.5M defamation lawsuit,http://nypost.com/2016/11/04/rolling-stone-found-liable-in-7-5m-defamation-lawsuit/
12,1686,link,Rolling Stone and journalist found guilty over false Virginia rape story,http://www.bbc.com/news/world-us-canada-37879151
12,1687,link,Jury awards $3 million in damages to U-Va. dean for Rolling Stone defamation,https://www.washingtonpost.com/local/education/jury-to-deliberate-damages-to-u-va-dean-in-rolling-stone-defamation-lawsuit/2016/11/07/e2aa2eb0-a506-11e6-ba59-a7d93165c6d4_story.html
